year,2019,,,,,,
ss_withholding_rate_employer,0.062,,,,,,
ss_withholding_rate_employee,0.062,,,,,,
medicare_withholding_rate_employer,0.0145,,,,,,
medicare_withholding_rate_employee,0.0145,,,,,,
ss_wage_base,132900,,,,,,
medicare_wage_base,inf,,,,,,
additional_medicare_tax_rate,0.009,,,,,,
additional_medicare_tax_threshold,200000,250000,200000,,,,
personal_exemption,4250,,,,,,
personal_exemption_po_threshold,273150,327750,300450,,,,
personal_exemption_po_rate,0.02,,,,,,
personal_exemption_po_amt,2500,,,,,,
standard_deduction,6650,13350,9750,,,,
taxable_ss_base_threshold,25000,32000,25000,,,,
taxable_ss_top_threshold,34000,44000,34000,,,,
taxable_ss_base_amt,0.5,,,,,,
taxable_ss_top_amt,0.85,,,,,,
itemized_limitation_threshold,266700,320000,293350,,,,
itemized_limitation_amt,0.8,,,,,,
itemized_limitation_rate,0.03,,,,,,
single_brackets,0,9750,39650,95950,200200,435250,437000
married_brackets,0,19500,79300,159950,243750,435250,491650
hoh_brackets,0,13950,53100,137050,221950,435250,464350
income_tax_rates,0.1,0.15,0.25,0.28,0.33,0.35,0.396
ctc_po_threshold,75000,110000,75000,,,,
ctc_credit,1000,,,,,,
ctc_po_rate,0.05,,,,,,
amt_exemption,56700,88300,56700,,,,
amt_exemption_po_threshold,126000,167900,126000,,,,
amt_exemption_po_rate,0.25,,,,,,
amt_rate_threshold,196000,,,,,,
amt_rates,0.26,0.28,,,,,
eitc_max,529,3526,5828,6557,,,
eitc_threshold,6920,10370,14570,14570,,,
eitc_phaseout_single,8650,19030,19030,19030,,,
eitc_phaseout_married,14450,24820,24820,24820,,,
eitc_max_income_single,15570,41094,46703,50162,,,
eitc_max_income_married,21370,46884,52493,55952,,,
cap_gains_lower_threshold,38700,77400,51850,,,,
cap_gains_upper_threshold,426700,480050,453350,,,,
cap_gains_lower_rate,0.15,,,,,,
cap_gains_upper_rate,0.2,,,,,,
additional_standard_deduction,1650,1300,1650,,,,
additional_ctc_threshold,3000,,,,,,
additional_ctc_rate,0.15,,,,,,
medical_expense_threshold,0.1,,,,,,
niit_rate,0.038,,,,,,
mortgage_interest_cap,1000000,,,,,,
charitable_cont_limit,0.5,,,,,,
