state_name,statefips,county_name,countyfips,totalrets,agi_stub,child_dep,avg_income_ALL,taxes_paid_ded,pre,post
AL,1,Calhoun,15,7360,2,1,5599,1076.1904761904761,6026.005494505494,6050.131868131869
AL,1,Calhoun,15,12950,3,1,17090,1091.9540229885056,17851.697671294227,18138.15752351097
AL,1,Calhoun,15,12580,4,1,35933,1783.3333333333335,32589.92810356575,33428.65387755102
AL,1,Calhoun,15,6800,5,1,61493,2823.529411764706,52310.22061469265,53655.52923538231
AL,1,Calhoun,15,3830,6,1,86232,3830.487804878049,72167.49032284803,74036.82275132273
AL,1,Calhoun,15,3490,7,1,128664,5722.026431718061,103878.11973454534,106870.34770114943
AL,1,Calhoun,15,630,8,1,405054,17524.56140350877,304634.35284933646,326939.35050741606
AL,1,Chambers,17,2180,2,1,5839,942.8571428571429,6255.428571428572,6276.437788018433
AL,1,Chambers,17,5020,3,2,17236,1297.3684210526317,19654.836693548383,19883.885080645163
AL,1,Chambers,17,4010,4,1,35411,1952.9411764705883,31749.16995678742,32556.76081424936
AL,1,Chambers,17,1680,5,1,61080,3194.3661971830984,51707.05497835499,52962.1696969697
AL,1,Chambers,17,740,6,1,86591,4230.555555555556,72326.72680788896,74109.48648648648
AL,1,Chambers,17,660,7,1,126398,6111.363636363636,102364.80392156861,104956.07352941176
AL,1,Chambers,17,100,8,1,360570,18655.555555555555,274730.6,293080.2
AL,1,Cherokee,19,1380,2,1,5409,900.0,5858.14598540146,5885.0
AL,1,Cherokee,19,2590,3,1,16946,1681.25,18111.747180251117,18418.047244094487
AL,1,Cherokee,19,2220,4,1,36053,2017.142857142857,33038.728445735454,33865.56542056076
